epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.38302,1.57216,2.83594,1.70425,0.53356,0.54247,0.52825,0.22817,1.94634,3.20525,2.85854,0.000656863,0.000656863,0.000656863
2,17.9262,1.69132,1.62296,1.79555,0.15612,0.29553,0.10646,0.03017,2.60677,5.08385,3.26903,0.00130169,0.00130169,0.00130169
3,26.2263,1.73149,1.60283,1.8193,0.45512,0.49141,0.38054,0.13213,2.32416,3.7679,2.99782,0.00192452,0.00192452,0.00192452
4,34.3415,1.7363,1.58653,1.83414,0.07912,0.02405,0.0222,0.01086,4.08682,4.73105,5.88473,0.001901,0.001901,0.001901
5,41.1676,1.62243,1.42542,1.75049,0.37813,0.52921,0.3168,0.14719,1.8908,2.49405,2.26236,0.001868,0.001868,0.001868
6,49.3788,1.5932,1.38955,1.71358,0.61425,0.70103,0.66214,0.32142,1.66117,1.92091,2.04377,0.001835,0.001835,0.001835
7,57.6608,1.5489,1.31788,1.6671,0.56261,0.64094,0.5706,0.2683,1.73044,1.69619,2.00823,0.001802,0.001802,0.001802
8,64.5329,1.50293,1.29952,1.64412,0.72214,0.50014,0.57273,0.27217,1.98064,2.07692,2.2795,0.001769,0.001769,0.001769
9,72.7627,1.45887,1.21974,1.60093,0.61166,0.58763,0.55429,0.23887,2.20523,1.72005,2.69757,0.001736,0.001736,0.001736
10,81.0157,1.43929,1.19051,1.57802,0.75264,0.73194,0.76083,0.42664,1.52659,1.18503,1.82255,0.001703,0.001703,0.001703
11,89.3136,1.43496,1.14713,1.57925,0.69513,0.52577,0.60896,0.30498,1.96185,1.68325,2.2578,0.00167,0.00167,0.00167
12,96.0926,1.44097,1.12738,1.56722,0.8002,0.78448,0.85352,0.48825,1.46897,1.00017,1.76821,0.001637,0.001637,0.001637
13,104.361,1.39665,1.06436,1.51978,0.81966,0.78095,0.85792,0.46886,1.49354,1.04195,1.81079,0.001604,0.001604,0.001604
14,112.577,1.39693,1.06774,1.53053,0.87768,0.811,0.91082,0.51956,1.40446,0.95272,1.71965,0.001571,0.001571,0.001571
15,119.414,1.36717,1.0187,1.51634,0.81957,0.76632,0.85004,0.44084,1.44537,1.10616,1.70751,0.001538,0.001538,0.001538
16,127.672,1.35628,1.03892,1.49319,0.88399,0.84536,0.91671,0.57457,1.28429,0.89617,1.58988,0.001505,0.001505,0.001505
17,135.867,1.34105,0.99678,1.49665,0.8106,0.8866,0.90067,0.55148,1.35408,0.88345,1.65493,0.001472,0.001472,0.001472
18,144.124,1.28818,0.97827,1.4682,0.8819,0.79381,0.87967,0.5074,1.42459,0.89538,1.72696,0.001439,0.001439,0.001439
19,150.92,1.30115,0.96725,1.46216,0.88669,0.76632,0.88154,0.54509,1.34676,0.93428,1.6604,0.001406,0.001406,0.001406
20,159.14,1.29669,0.9448,1.46071,0.89496,0.90768,0.94241,0.61025,1.24133,0.74742,1.56349,0.001373,0.001373,0.001373
21,167.347,1.28374,0.91651,1.44619,0.85967,0.90519,0.93673,0.56705,1.27685,0.8806,1.60437,0.00134,0.00134,0.00134
22,175.706,1.26526,0.91289,1.43767,0.87697,0.90634,0.93188,0.58557,1.30253,0.75896,1.59465,0.001307,0.001307,0.001307
23,182.594,1.27754,0.88796,1.43069,0.88485,0.81864,0.9133,0.56417,1.31448,0.78385,1.59327,0.001274,0.001274,0.001274
24,190.843,1.27781,0.90017,1.44486,0.87615,0.89347,0.94206,0.61278,1.20694,0.72082,1.52999,0.001241,0.001241,0.001241
25,199.141,1.22473,0.86796,1.42463,0.891,0.8866,0.92832,0.61258,1.21667,0.68207,1.56001,0.001208,0.001208,0.001208
26,206.034,1.25401,0.86,1.43063,0.89698,0.91409,0.95396,0.60416,1.26968,0.71276,1.54799,0.001175,0.001175,0.001175
27,214.289,1.21757,0.83437,1.40082,0.87922,0.87552,0.92712,0.59837,1.2397,0.76404,1.5655,0.001142,0.001142,0.001142
28,222.659,1.22376,0.80149,1.39878,0.89826,0.93127,0.95635,0.62053,1.21794,0.69936,1.53013,0.001109,0.001109,0.001109
29,230.944,1.2041,0.81178,1.3894,0.91794,0.92262,0.95152,0.63112,1.16421,0.69345,1.47084,0.001076,0.001076,0.001076
30,237.781,1.19283,0.8055,1.38468,0.91448,0.84521,0.92989,0.60351,1.24996,0.71695,1.57098,0.001043,0.001043,0.001043
